2023-10-06 05:58:54.632+00:00 | main | INFO  | Besu | Starting Besu
2023-10-06 05:58:54.876+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-10-06 05:58:55.119+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-06 05:58:55.240+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-10-06 05:58:56.786+00:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:58:56.802+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2023-10-06 05:59:01.797+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:06.797+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:11.798+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:59:13.767+00:00 | nioEventLoopGroup-3-2 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 1 peers for usefulness
2023-10-06 05:59:13.774+00:00 | nioEventLoopGroup-3-1 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 2 peers for usefulness
2023-10-06 05:59:14.068+00:00 | nioEventLoopGroup-3-6 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 3 peers for usefulness
2023-10-06 05:59:17.386+00:00 | EthScheduler-Workers-0 | INFO  | PersistBlockTask | Imported #1 / 0 tx / 0 om / 0 (0.0%) gas / (0x282f8bfb6011087bc19877ff62db9d742c69e66aaba175e8bfaa1e4c922f9fc2) in 0.011s. Peers: 3
2023-10-06 05:59:18.056+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #2 / 0 tx / 0 pending / 0 (0.0%) gas / (0xcdcfdd26769321dc0e5ac9b7ccc0205e75e599bec407faeef95ab9d8b56c307d)
2023-10-06 05:59:19.057+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #3 / 0 tx / 0 pending / 0 (0.0%) gas / (0xc07b2673e58906f925238a1c2df1c7ff0f6806cb95b4fb0125398a12b7c866b8)
2023-10-06 05:59:20.045+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #4 / 0 tx / 0 pending / 0 (0.0%) gas / (0x74fa6202a8c64d78f35c9147ae352f881c2474f981a20fb6179843e5d96c4323)
2023-10-06 05:59:21.038+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #5 / 0 tx / 0 pending / 0 (0.0%) gas / (0x3828f4a4fd7eab213917e207411bbefc20e7fd3d54a0a72f51f78a1dcbf31383)
2023-10-06 05:59:22.037+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #6 / 0 tx / 0 pending / 0 (0.0%) gas / (0x187498a15f731978e77048c20b3080a35ef65f593d060a9cad2dcd9ae89f47a4)
2023-10-06 05:59:23.034+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #7 / 0 tx / 0 pending / 0 (0.0%) gas / (0xfd0c6b0b45e6fd7d2d790da02d86c9b2d629a9b21e760426e6e8f186032dc3c6)
2023-10-06 05:59:24.029+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #8 / 0 tx / 0 pending / 0 (0.0%) gas / (0x30befecc302ef700d6f1ed5956be2f9e5e1acef5e2ddc61429ebbb36cc49edc0)
2023-10-06 05:59:25.031+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #9 / 0 tx / 0 pending / 0 (0.0%) gas / (0x30a06fc5ac8d95daa8f722d5c9f2399690eccb43886cc4030ea508fd6b271a60)
2023-10-06 05:59:26.034+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #10 / 0 tx / 0 pending / 0 (0.0%) gas / (0x67609cc2b5bc533384cf5e5f41225f043e4d3e6b019f4b39eb28410c8c72f12f)
2023-10-06 05:59:27.033+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #11 / 0 tx / 0 pending / 0 (0.0%) gas / (0x8723fca81e4ca78e3c3faf005c33cccbe762803d6b2f9633c9902a22c3429a82)
2023-10-06 05:59:28.029+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #12 / 0 tx / 0 pending / 0 (0.0%) gas / (0x6d2a99accf238a619708c1d64920298b6aa0bf5555f0adad3ff9cea7f2cf9957)
2023-10-06 05:59:29.054+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #13 / 0 tx / 0 pending / 0 (0.0%) gas / (0xf5b7d6f3ccac99780715d3aa24fc030629ef59719b7da8e164a19e0a16c97314)
2023-10-06 05:59:30.033+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #14 / 0 tx / 0 pending / 0 (0.0%) gas / (0x01a61ce6606c2b7aa5adee042b468d4d9c8178c1161a581779df849d103d38f4)
2023-10-06 05:59:31.025+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #15 / 0 tx / 0 pending / 0 (0.0%) gas / (0xacfad2d9528a9e464e4eb590ebfcadabd4533e5e9fed6e8cda181f29e1a31058)
2023-10-06 05:59:32.028+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #16 / 0 tx / 0 pending / 0 (0.0%) gas / (0x4013d696cf3840d4ae539e0340e416ba63645fc747558eaa4d45e6e49264aaca)
2023-10-06 05:59:33.030+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #17 / 0 tx / 0 pending / 0 (0.0%) gas / (0x8dacddccaf84fe7c34585ca8fcd13ddafd2ad00ead8f8abf0e77c94ff6bcdd4d)
2023-10-06 05:59:34.021+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #18 / 0 tx / 0 pending / 0 (0.0%) gas / (0xdbe9a9c8d70b106f44dd4a16baad5a2ca3a547215fe9a45d4c07740418188607)
2023-10-06 05:59:35.054+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #19 / 0 tx / 0 pending / 0 (0.0%) gas / (0x80a6840eb42f133faa838cd4309eb56473140e3a2adceb5f475b89aac573774b)
2023-10-06 05:59:36.023+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #20 / 0 tx / 0 pending / 0 (0.0%) gas / (0xb7065e8950140b0f75168a2a00e53e02460f90cb54a90b4042c5702769d1e470)
2023-10-06 05:59:37.025+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #21 / 0 tx / 0 pending / 0 (0.0%) gas / (0xcdf0ddca341c1d7594803f89a61d8222060e6a60a82a964a245ae5415dd2fbe6)
2023-10-06 05:59:38.023+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #22 / 0 tx / 0 pending / 0 (0.0%) gas / (0xc132cae3805276198be614e22d01834f602ccc6ad5087cb2755340e7314a7b63)
2023-10-06 05:59:39.021+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #23 / 0 tx / 0 pending / 0 (0.0%) gas / (0x82e1b5eb305f818499c6803d0745281bfa1b234680097b0cb7585ffbc95d30a3)
2023-10-06 05:59:40.043+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #24 / 0 tx / 0 pending / 0 (0.0%) gas / (0xd645d3386365c71a9e84ffced195d95749ec532ff4d1ed8d69e09f4e0aa489af)
2023-10-06 05:59:41.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #25 / 0 tx / 0 pending / 0 (0.0%) gas / (0x5b790071b64dc8bc986e78360217c135025add76d1eef814f75cae5ee8d14e2f)
2023-10-06 05:59:42.020+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #26 / 0 tx / 0 pending / 0 (0.0%) gas / (0xbfeb96e6ccdba489c3ca4a9d8536bec576ca3d3d4c4c3e0528f6bb15160419b6)
2023-10-06 05:59:43.022+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #27 / 0 tx / 0 pending / 0 (0.0%) gas / (0x45d9ad0d19672468696a2674224c244bb8d3dc5af24827b2a2420a8bf5c53ffc)
2023-10-06 05:59:44.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #28 / 0 tx / 0 pending / 0 (0.0%) gas / (0xb53bff60fed22cbaf1893ee92b693125c80031dd35302477998b0a5f220dd08a)
2023-10-06 05:59:45.014+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #29 / 0 tx / 0 pending / 0 (0.0%) gas / (0x5b7903df4e44f5cab813bf29ff44501c173c0c4c92e647a44ac9fd6a28881beb)
2023-10-06 05:59:46.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #30 / 0 tx / 0 pending / 0 (0.0%) gas / (0xd33679fd0703613fdd0a64159d35852341c0974c4a676d979ab16818339ca46f)
2023-10-06 05:59:47.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #31 / 0 tx / 0 pending / 0 (0.0%) gas / (0x72594c160154383d21c2dd9cde220b7c25b15874f14b7be088d5b5c077a2d877)
2023-10-06 05:59:48.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #32 / 0 tx / 0 pending / 0 (0.0%) gas / (0xb025bbf68f704c4098823f14ea0df16e50ff8aec68c7eb508f9528e316953d3e)
2023-10-06 05:59:49.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #33 / 0 tx / 0 pending / 0 (0.0%) gas / (0x9e9f0cfce4374853012a6a960de943e0b64a2b4f9b9bc01fe27ba7edc2268e4e)
2023-10-06 05:59:50.022+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #34 / 0 tx / 0 pending / 0 (0.0%) gas / (0x805a90201488dd5d4a1c64f32e6c381a2921149cc4524c2ca1fc44594903782c)
2023-10-06 05:59:51.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #35 / 0 tx / 0 pending / 0 (0.0%) gas / (0x816f7ec2f600e0f3a38b88ed3d118e70adfac8b8a7314a7edd117cf5fb5562df)
2023-10-06 05:59:52.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #36 / 0 tx / 0 pending / 0 (0.0%) gas / (0x670cae4b4b5a62d0da831df50abed4fb7084f387df52e6660a83fc47df84b3ac)
2023-10-06 05:59:53.021+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #37 / 0 tx / 0 pending / 0 (0.0%) gas / (0x706c93f2e99f7f1ae641370e2f13e10a84bac87d4304589893f88b9481e2f8b6)
2023-10-06 05:59:54.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #38 / 0 tx / 0 pending / 0 (0.0%) gas / (0x48e13cb30cfdc3feaf473806f8c85e9d7956838552d9e82a8900ea773b42cbee)
2023-10-06 05:59:55.017+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #39 / 0 tx / 0 pending / 0 (0.0%) gas / (0x89a128d10dc4d4f1e6b68aa8e7e7f73d62d38d1e1a370f1bfcc229745de598ee)
2023-10-06 05:59:56.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #40 / 0 tx / 0 pending / 0 (0.0%) gas / (0x15a43d03a480f478b8fd7b3db849abd865aaf3027d130e275afeaf4f34f36606)
2023-10-06 05:59:57.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #41 / 0 tx / 0 pending / 0 (0.0%) gas / (0x1b8b34e52a36326fbac604abf52aac605d5dabc20c8fef2c869a9b7b757ef807)
2023-10-06 05:59:58.017+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #42 / 0 tx / 0 pending / 0 (0.0%) gas / (0x53a6a02facd5233993671d31d7130444371f3e56fe2ac8e56ce96842304199cb)
2023-10-06 05:59:59.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #43 / 0 tx / 0 pending / 0 (0.0%) gas / (0x03b337ef4fb353857e976440d727149b73baa312c1bf75930a9d657d4418791a)
2023-10-06 06:00:00.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #44 / 0 tx / 0 pending / 0 (0.0%) gas / (0xd91067d594e00a6960ff6c002301cb8d7385224683e7ff04eaea7ec0f53c1379)
2023-10-06 06:00:01.017+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #45 / 0 tx / 0 pending / 0 (0.0%) gas / (0x87cca9946f998e0a0fc73777bf68e9e3f19802cb66e2f36f710e4b3795b7c72d)
2023-10-06 06:00:02.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #46 / 0 tx / 0 pending / 0 (0.0%) gas / (0x2be6bd44daf0a672e724d4196dec70ef1de1749ec6f5f41e6a5364e445ac9b4c)
2023-10-06 06:00:03.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #47 / 0 tx / 0 pending / 0 (0.0%) gas / (0x3f9d09152c392c52ccd9523733e84095de3bc545208d92eaa1ffcda11fb080dd)
2023-10-06 06:00:04.018+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #48 / 0 tx / 0 pending / 0 (0.0%) gas / (0xf4d5ede9f60d15bef65f936a9df0bea814f89852018346b6b2c05b21f1a433e0)
2023-10-06 06:00:05.017+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #49 / 0 tx / 0 pending / 0 (0.0%) gas / (0x67743136e479d0459d97e580115b636772915f90b130926bbacf98c8ac3f2987)
2023-10-06 06:00:06.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #50 / 0 tx / 0 pending / 0 (0.0%) gas / (0xae6aa8eb3db4980652978f229f057122b3ad02bd72984efd4aaadc940d244388)
2023-10-06 06:00:07.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #51 / 0 tx / 0 pending / 0 (0.0%) gas / (0x533c0437a539eacef4bcad9e626994f8069d9731f7fa97e2f63ce686c6fd7e74)
2023-10-06 06:00:08.017+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #52 / 0 tx / 0 pending / 0 (0.0%) gas / (0xc739d21fce670a29045436a698f642b679a85af7677ed991a83e2b5644ce332a)
2023-10-06 06:00:09.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #53 / 0 tx / 0 pending / 0 (0.0%) gas / (0x157cc07d0b2de3174ed46d8df29851e401c3a8cbcc5be0e7f742c592724054b3)
2023-10-06 06:00:10.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #54 / 0 tx / 0 pending / 0 (0.0%) gas / (0xe6f6baddb6ffcb4d38cb9f5142dbe09715ed580995199b741a724b2dea1136aa)
2023-10-06 06:00:11.034+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #55 / 0 tx / 0 pending / 0 (0.0%) gas / (0xa069ace3dab50d35d914e9dd1e6aad5b14ba6de14e400d97287727469745ee5b)
2023-10-06 06:00:12.015+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #56 / 0 tx / 0 pending / 0 (0.0%) gas / (0x3910fbeb6e4bf51f7c19c8640b04eab43390649661a88a999b2135b1fb33d5b1)
2023-10-06 06:00:13.019+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #57 / 0 tx / 0 pending / 0 (0.0%) gas / (0xa0ea3773cc452ab90b9863de205597c16df81c46eb67e350e37313db00748151)
2023-10-06 06:00:14.033+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #58 / 0 tx / 0 pending / 0 (0.0%) gas / (0xf2d56693bac3e2e91c7b61fc7aa811de3d02eea01bef68e23112bcdc42bb7edd)
2023-10-06 06:00:15.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #59 / 0 tx / 0 pending / 0 (0.0%) gas / (0xb85a72953426f0fd494cf3601526d23e07495864bc6007519f4726d6714c09b9)
2023-10-06 06:00:16.011+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #60 / 0 tx / 0 pending / 0 (0.0%) gas / (0x471ecc2f21cd625e7948921c22c103f62ad6b30dd9982102eb1640d515b89268)
2023-10-06 06:00:17.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #61 / 0 tx / 0 pending / 0 (0.0%) gas / (0x44d6a12f18694f40fc8520a53c0277a93698b55cef081e44cd8832caa5cd73bb)
2023-10-06 06:00:18.036+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Produced #62 / 0 tx / 0 pending / 0 (0.0%) gas / (0xda4000b30d91eaa4849dfe108739e2414f3021a6fdf968f211ce90190937038a)
2023-10-06 06:00:19.013+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #63 / 0 tx / 0 pending / 0 (0.0%) gas / (0x6d33bbe6e00d2a49877a508317ce6dbe9d67ff9f038b6ead9563ad73f7284e6c)
2023-10-06 06:00:20.016+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #64 / 0 tx / 0 pending / 0 (0.0%) gas / (0x3a25713c70bdf56ac16970f144f82c923ebb386cd7f16321f496aa0092c31b43)
2023-10-06 06:00:21.012+00:00 | BftProcessorExecutor-QBFT-0 | INFO  | QbftBesuControllerBuilder | Imported #65 / 0 tx / 0 pending / 0 (0.0%) gas / (0xe275bf6b49a0d8a04afaf8a9dbe11b7523cdb9df604c2c3dc543560b121e5852)
