2023-10-06 05:42:25.503+00:00 | main | INFO  | Besu | Starting Besu
2023-10-06 05:42:26.417+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-10-06 05:42:27.063+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-06 05:42:27.554+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-10-06 05:42:27.555+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2023-10-06 05:42:27.555+00:00 | main | INFO  | Besu | Security Module: localfile
2023-10-06 05:42:27.785+00:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2023-10-06 05:42:27.871+00:00 | main | INFO  | Besu | Using the native implementation of modexp
2023-10-06 05:42:27.872+00:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2023-10-06 05:42:27.882+00:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2023-10-06 05:42:27.956+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /opt/besu/data. Using version 1
2023-10-06 05:42:29.760+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0x613b5c6ca878c529ff8927872d11e8fd3cd34ed088e382f13c7c83258dce20199025a5c0531fc04aae60dd34ba77aa4f183dcc861f9bbf545d9c1e88438e79e1 from /opt/besu/data/key
2023-10-06 05:42:30.114+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin: 0]
2023-10-06 05:42:30.478+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2023-10-06 05:42:30.539+00:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2023-10-06 05:42:30.692+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
