2023-10-06 06:27:53.830+00:00 | main | INFO  | Besu | Starting Besu
2023-10-06 06:27:54.075+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-10-06 06:27:54.345+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-06 06:27:54.469+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-10-06 06:27:54.469+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2023-10-06 06:27:54.469+00:00 | main | INFO  | Besu | Security Module: localfile
2023-10-06 06:27:54.525+00:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2023-10-06 06:27:54.570+00:00 | main | INFO  | Besu | Using the native implementation of modexp
2023-10-06 06:27:54.571+00:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2023-10-06 06:27:54.575+00:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2023-10-06 06:27:54.597+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /opt/besu/data. Using version 1
2023-10-06 06:27:55.271+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0xc2378451ab555305bfb23cc6973e2ff352721be0936a79576cad173878a817b3554d7b0ea096501a7fa3b48bfe9b5f2a5ea449d7c19413efb3e711cb02148b0d from /opt/besu/data/key
2023-10-06 06:27:55.416+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin: 0]
2023-10-06 06:27:55.528+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2023-10-06 06:27:55.543+00:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2023-10-06 06:27:55.581+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2023-10-06 06:27:55.707+00:00 | main | INFO  | Runner | Starting external services ... 
2023-10-06 06:27:55.708+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2023-10-06 06:27:55.818+00:00 | vert.x-eventloop-thread-3 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2023-10-06 06:27:55.820+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2023-10-06 06:27:55.823+00:00 | vert.x-eventloop-thread-3 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2023-10-06 06:27:55.826+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2023-10-06 06:27:55.827+00:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /opt/besu/data/caches
2023-10-06 06:27:55.837+00:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2023-10-06 06:27:55.837+00:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2023-10-06 06:27:55.837+00:00 | main | INFO  | NetworkRunner | Starting Network.
2023-10-06 06:27:55.851+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2023-10-06 06:27:55.851+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2023-10-06 06:27:55.869+00:00 | vert.x-eventloop-thread-3 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2023-10-06 06:27:55.871+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2023-10-06 06:27:55.902+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=1, publicKey=0x03c2378451ab555305bfb23cc6973e2ff352721be0936a79576cad173878a817b3, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], asBase64=-Je4QMze93--CSMKAsCiLrfJkccfzgNFWxUZBJ0opG7YM7gUfzc2XpyDRtFWFPisUewk0yrJefhHgFItg40euH77P0wBg2V0aMfGhLszXCGAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQPCN4RRq1VTBb-yPMaXPi_zUnIb4JNqeVdsrRc4eKgXs4N0Y3CCdl-DdWRwgnZf, nodeId=0xabc52b82bfa4e1fc18b97b8a50383579e7038824e851ae90c1427eca4505766f, customFields={tcp=30303, udp=30303, ip=0x7f000001, eth=[[0xbb335c21, 0x]], id=V4, secp256k1=0x03c2378451ab555305bfb23cc6973e2ff352721be0936a79576cad173878a817b3}}
2023-10-06 06:27:55.921+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://c2378451ab555305bfb23cc6973e2ff352721be0936a79576cad173878a817b3554d7b0ea096501a7fa3b48bfe9b5f2a5ea449d7c19413efb3e711cb02148b0d@127.0.0.1:30303
2023-10-06 06:27:55.921+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x50383579e7038824e851ae90c1427eca4505766f
2023-10-06 06:27:55.931+00:00 | main | INFO  | NetworkRunner | Supported capabilities: [eth/62, eth/63, eth/64, eth/65, eth/66, eth/67, eth/68], [istanbul/100], [snap/1]
2023-10-06 06:27:55.931+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2023-10-06 06:27:55.933+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2023-10-06 06:27:55.934+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2023-10-06 06:27:55.935+00:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 06:27:55.952+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2023-10-06 06:28:00.944+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
