2023-10-06 05:53:09.272+00:00 | main | INFO  | Besu | Starting Besu
2023-10-06 05:53:09.495+00:00 | main | WARN  | Besu | --miner-coinbase and --min-gas-price has been ignored because --miner-enabled was not defined on the command line.
2023-10-06 05:53:09.706+00:00 | main | WARN  | Besu | --graphql-http-host has been ignored because --graphql-http-enabled was not defined on the command line.
2023-10-06 05:53:09.824+00:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 23.4.4                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file specified                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# RPC HTTP APIs: ADMIN,IBFT,QBFT,CLIQUE,ETH,NET,TXPOOL,WEB3                                        #
# RPC HTTP port: 8545                                                                              #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-17                                                                            #
# Maximum heap size: 3.86 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 15.45 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
####################################################################################################
2023-10-06 05:53:09.825+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2023-10-06 05:53:09.825+00:00 | main | INFO  | Besu | Security Module: localfile
2023-10-06 05:53:09.874+00:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2023-10-06 05:53:09.916+00:00 | main | INFO  | Besu | Using the native implementation of modexp
2023-10-06 05:53:09.916+00:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2023-10-06 05:53:09.921+00:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2023-10-06 05:53:09.939+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | No existing database detected at /opt/besu/data. Using version 1
2023-10-06 05:53:10.748+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0xd307052cfc91c6dea82da14480348ed91841a791ca1d867031060137afb555e5b415f742036e533403f25640897af75902d026c4cf221e57daa4c380738b6a62 from /opt/besu/data/key
2023-10-06 05:53:10.866+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin: 0]
2023-10-06 05:53:10.957+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2023-10-06 05:53:10.969+00:00 | main | INFO  | BesuControllerBuilder | TTD difficulty is not present, creating initial sync phase for PoW
2023-10-06 05:53:11.001+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2023-10-06 05:53:11.129+00:00 | main | INFO  | Runner | Starting external services ... 
2023-10-06 05:53:11.130+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2023-10-06 05:53:11.243+00:00 | vert.x-eventloop-thread-3 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2023-10-06 05:53:11.245+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2023-10-06 05:53:11.249+00:00 | vert.x-eventloop-thread-3 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2023-10-06 05:53:11.251+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2023-10-06 05:53:11.252+00:00 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /opt/besu/data/caches
2023-10-06 05:53:11.261+00:00 | main | INFO  | Runner | Starting Ethereum main loop ... 
2023-10-06 05:53:11.261+00:00 | main | INFO  | NatService | No NAT environment detected so no service could be started
2023-10-06 05:53:11.261+00:00 | main | INFO  | NetworkRunner | Starting Network.
2023-10-06 05:53:11.273+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2023-10-06 05:53:11.274+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2023-10-06 05:53:11.292+00:00 | vert.x-eventloop-thread-3 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2023-10-06 05:53:11.294+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2023-10-06 05:53:11.331+00:00 | vert.x-eventloop-thread-3 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=1, publicKey=0x02d307052cfc91c6dea82da14480348ed91841a791ca1d867031060137afb555e5, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], asBase64=-Je4QL9yuE0x4GWLan98WTBYq20Dt7c9bvdN2u3BULhy7vmPeYPM53SYEl71gfqx5v54Lp7SrgtLYIXA3vtf-S7te3wBg2V0aMfGhJKifzKAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQLTBwUs_JHG3qgtoUSANI7ZGEGnkcodhnAxBgE3r7VV5YN0Y3CCdl-DdWRwgnZf, nodeId=0x711647dc695934624249dd9f637579be680259ad92646974597eada3cae98b8c, customFields={tcp=30303, udp=30303, ip=0x7f000001, eth=[[0x92a27f32, 0x]], id=V4, secp256k1=0x02d307052cfc91c6dea82da14480348ed91841a791ca1d867031060137afb555e5}}
2023-10-06 05:53:11.352+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://d307052cfc91c6dea82da14480348ed91841a791ca1d867031060137afb555e5b415f742036e533403f25640897af75902d026c4cf221e57daa4c380738b6a62@127.0.0.1:30303
2023-10-06 05:53:11.352+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x637579be680259ad92646974597eada3cae98b8c
2023-10-06 05:53:11.363+00:00 | main | INFO  | NetworkRunner | Supported capabilities: [eth/62, eth/63, eth/64, eth/65, eth/66, eth/67, eth/68], [istanbul/100], [snap/1]
2023-10-06 05:53:11.363+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2023-10-06 05:53:11.365+00:00 | main | INFO  | TransactionPoolFactory | Enabling transaction handling following initial sync
2023-10-06 05:53:11.366+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2023-10-06 05:53:11.367+00:00 | main | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:53:11.386+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2023-10-06 05:53:16.377+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:53:21.377+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
2023-10-06 05:53:26.378+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | Unable to find sync target. Currently checking 0 peers for usefulness
